date;T1A1;T1A2;T1A3;T1A4
2021-06-19 05:56:32;2840.908936;3242.424072;643.939026;17515.15039
2021-06-19 06:12:40;2833.333984;3242.424072;643.939026;17515.15039
2021-06-19 06:28:48;2840.908936;3242.424072;643.939026;17515.15039
2021-06-19 06:44:54;2833.333984;3242.424072;643.939026;17515.15039
2021-06-19 07:01:00;2833.333984;3242.424072;643.939026;17522.72656
2021-06-19 07:17:10;2840.908936;3242.424072;643.939026;17522.72656
2021-06-19 07:33:15;2840.908936;3250;643.939026;17530.30273
2021-06-19 07:49:22;2833.333984;3242.424072;636.364014;17530.30273
2021-06-19 08:05:28;2825.758057;3242.424072;643.939026;17537.87891
2021-06-19 08:21:37;2818.181885;3250;643.939026;17545.45508
2021-06-19 08:37:42;2818.181885;3242.424072;643.939026;17530.30273
2021-06-19 08:53:49;2803.030029;3250;651.515015;17537.87891
2021-06-19 09:09:54;2803.030029;3250;643.939026;17545.45508
2021-06-19 09:26:01;2787.878906;3242.424072;643.939026;17537.87891
2021-06-19 09:42:07;2772.727051;3250;643.939026;17537.87891
2021-06-19 09:58:12;2765.150879;3250;651.515015;17530.30273
2021-06-19 10:14:17;2765.150879;3242.424072;643.939026;17515.15039
2021-06-19 10:30:26;2750;3242.424072;636.364014;17507.57617
2021-06-19 10:46:31;2750;3242.424072;628.788025;17492.42383
2021-06-19 11:02:34;2750;3242.424072;628.788025;17484.84766
2021-06-19 11:18:40;2742.424072;3242.424072;628.788025;17477.27148
2021-06-19 11:34:47;2734.849121;3242.424072;628.788025;17469.69727
2021-06-19 11:50:51;2734.849121;3250;628.788025;17454.54492
2021-06-19 12:06:56;2734.849121;3250;628.788025;17454.54492
2021-06-19 12:23:00;2719.697021;3250;621.211975;17446.96875
2021-06-19 12:39:07;2712.121094;3250;606.060974;17446.96875
2021-06-19 12:55:11;2696.969971;3242.424072;590.908997;17431.81836
2021-06-19 13:11:15;2689.394043;3242.424072;560.606018;17431.81836
2021-06-19 13:27:20;2674.24292;3250;560.606018;17431.81836
2021-06-19 13:43:27;2659.091064;3234.849121;537.879028;17416.66602
2021-06-19 13:59:31;2636.364014;3219.697021;537.879028;17416.66602
2021-06-19 14:15:35;2628.788086;3219.697021;530.302979;17416.66602
2021-06-19 14:31:38;2613.635986;3204.545898;530.302979;17409.08984
2021-06-19 14:47:45;2606.061035;3204.545898;515.151978;17393.93945
2021-06-19 15:03:49;2583.333008;3189.394043;500;17393.93945
2021-06-19 15:19:53;2568.181885;3181.818115;492.424011;17393.93945
2021-06-19 15:35:57;2560.605957;3174.24292;477.27301;17393.93945
2021-06-19 15:52:03;2560.605957;3174.24292;469.696991;17386.36328
2021-06-19 16:08:07;2560.605957;3174.24292;454.545013;17386.36328
2021-06-19 16:24:12;2560.605957;3174.24292;439.394012;17386.36328
